    81    0.29226E-09    0.62509E-13    0.23458E-15   -0.15194E-11
    82    0.29597E-09    0.64450E-13    0.24043E-15   -0.15945E-11
    83    0.29971E-09    0.66405E-13    0.24636E-15   -0.16708E-11
    84    0.30347E-09    0.68372E-13    0.25236E-15   -0.17482E-11
    85    0.30728E-09    0.70349E-13    0.25844E-15   -0.18266E-11
    86    0.31111E-09    0.72335E-13    0.26459E-15   -0.19060E-11
    87    0.31497E-09    0.74328E-13    0.27081E-15   -0.19864E-11
    88    0.31887E-09    0.76326E-13    0.27711E-15   -0.20676E-11
    89    0.32279E-09    0.78328E-13    0.28349E-15   -0.21497E-11
    90    0.32675E-09    0.80332E-13    0.28994E-15   -0.22326E-11
    91    0.33074E-09    0.82336E-13    0.29647E-15   -0.23162E-11
    92    0.33476E-09    0.84338E-13    0.30307E-15   -0.24004E-11
    93    0.33881E-09    0.86336E-13    0.30975E-15   -0.24853E-11
    94    0.34289E-09    0.88329E-13    0.31651E-15   -0.25707E-11
    95    0.34700E-09    0.90314E-13    0.32334E-15   -0.26566E-11
    96    0.35114E-09    0.92290E-13    0.33026E-15   -0.27429E-11
    97    0.35530E-09    0.94254E-13    0.33725E-15   -0.28296E-11
    98    0.35950E-09    0.96206E-13    0.34432E-15   -0.29165E-11
    99    0.36372E-09    0.98142E-13    0.35147E-15   -0.30037E-11
   100    0.36797E-09    0.10006E-12    0.35870E-15   -0.30910E-11
   101    0.37225E-09    0.10196E-12    0.36601E-15   -0.31784E-11
   102    0.37655E-09    0.10384E-12    0.37341E-15   -0.32658E-11
   103    0.38088E-09    0.10570E-12    0.38088E-15   -0.33532E-11
   104    0.38524E-09    0.10753E-12    0.38844E-15   -0.34404E-11
   105    0.38961E-09    0.10934E-12    0.39608E-15   -0.35274E-11
   106    0.39402E-09    0.11112E-12    0.40380E-15   -0.36141E-11
   107    0.39844E-09    0.11287E-12    0.41161E-15   -0.37005E-11
   108    0.40288E-09    0.11459E-12    0.41951E-15   -0.37865E-11
   109    0.40735E-09    0.11628E-12    0.42749E-15   -0.38720E-11
   110    0.41184E-09    0.11793E-12    0.43555E-15   -0.39569E-11
   111    0.41635E-09    0.11955E-12    0.44370E-15   -0.40412E-11
