    66    0.24034E-09    0.35791E-13   -0.55821E-12    0.73464E-06    0.14104E-08
    67    0.24356E-09    0.37366E-13   -0.61159E-12    0.73060E-06    0.13841E-08
    68    0.24681E-09    0.38973E-13   -0.66658E-12    0.72654E-06    0.13585E-08
    69    0.25009E-09    0.40613E-13   -0.72317E-12    0.72246E-06    0.13336E-08
    70    0.25341E-09    0.42283E-13   -0.78133E-12    0.71835E-06    0.13094E-08
    71    0.25676E-09    0.43982E-13   -0.84106E-12    0.71423E-06    0.12858E-08
    72    0.26014E-09    0.45709E-13   -0.90234E-12    0.71009E-06    0.12628E-08
    73    0.26355E-09    0.47462E-13   -0.96515E-12    0.70594E-06    0.12404E-08
    74    0.26700E-09    0.49242E-13   -0.10295E-11    0.70178E-06    0.12184E-08
    75    0.27048E-09    0.51045E-13   -0.10953E-11    0.69762E-06    0.11970E-08
    76    0.27399E-09    0.52871E-13   -0.11626E-11    0.69345E-06    0.11760E-08
    77    0.27753E-09    0.54720E-13   -0.12312E-11    0.68928E-06    0.11555E-08
    78    0.28110E-09    0.56588E-13   -0.13013E-11    0.68510E-06    0.11355E-08
    79    0.28470E-09    0.58476E-13   -0.13727E-11    0.68093E-06    0.11159E-08
    80    0.28834E-09    0.60381E-13   -0.14454E-11    0.67675E-06    0.10968E-08
    81    0.29201E-09    0.62303E-13   -0.15194E-11    0.67257E-06    0.10780E-08
    82    0.29571E-09    0.64241E-13   -0.15945E-11    0.66839E-06    0.10598E-08
    83    0.29944E-09    0.66192E-13   -0.16708E-11    0.66422E-06    0.10419E-08
    84    0.30320E-09    0.68154E-13   -0.17483E-11    0.66005E-06    0.10244E-08
    85    0.30700E-09    0.70128E-13   -0.18267E-11    0.65589E-06    0.10073E-08
    86    0.31083E-09    0.72110E-13   -0.19062E-11    0.65174E-06    0.99063E-09
    87    0.31469E-09    0.74099E-13   -0.19867E-11    0.64760E-06    0.97428E-09
    88    0.31858E-09    0.76093E-13   -0.20680E-11    0.64348E-06    0.95827E-09
    89    0.32251E-09    0.78091E-13   -0.21502E-11    0.63938E-06    0.94260E-09
    90    0.32646E-09    0.80091E-13   -0.22332E-11    0.63529E-06    0.92724E-09
    91    0.33045E-09    0.82091E-13   -0.23169E-11    0.63123E-06    0.91219E-09
    92    0.33447E-09    0.84089E-13   -0.24012E-11    0.62719E-06    0.89744E-09
    93    0.33851E-09    0.86083E-13   -0.24862E-11    0.62316E-06    0.88299E-09
    94    0.34259E-09    0.88072E-13   -0.25717E-11    0.61916E-06    0.86883E-09
    95    0.34670E-09    0.90053E-13   -0.26577E-11    0.61517E-06    0.85496E-09
    96    0.35083E-09    0.92025E-13   -0.27442E-11    0.61120E-06    0.84137E-09
    97    0.35500E-09    0.93985E-13   -0.28310E-11    0.60725E-06    0.82806E-09
    98    0.35919E-09    0.95932E-13   -0.29181E-11    0.60331E-06    0.81501E-09
    99    0.36341E-09    0.97864E-13   -0.30054E-11    0.59940E-06    0.80222E-09
   100    0.36766E-09    0.99779E-13   -0.30928E-11    0.59550E-06    0.78969E-09
   101    0.37194E-09    0.10168E-12   -0.31804E-11    0.59162E-06    0.77741E-09
   102    0.37624E-09    0.10355E-12   -0.32680E-11    0.58776E-06    0.76538E-09
   103    0.38057E-09    0.10541E-12   -0.33555E-11    0.58392E-06    0.75359E-09
   104    0.38492E-09    0.10723E-12   -0.34429E-11    0.58011E-06    0.74203E-09
   105    0.38930E-09    0.10904E-12   -0.35301E-11    0.57631E-06    0.73069E-09
   106    0.39370E-09    0.11081E-12   -0.36170E-11    0.57254E-06    0.71959E-09
   107    0.39812E-09    0.11256E-12   -0.37036E-11    0.56879E-06    0.70869E-09
   108    0.40257E-09    0.11428E-12   -0.37898E-11    0.56506E-06    0.69801E-09
   109    0.40703E-09    0.11596E-12   -0.38755E-11    0.56136E-06    0.68754E-09
   110    0.41152E-09    0.11761E-12   -0.39607E-11    0.55768E-06    0.67726E-09
   111    0.41603E-09    0.11922E-12   -0.40452E-11    0.55402E-06    0.66718E-09
   112    0.42055E-09    0.12079E-12   -0.41290E-11    0.55039E-06    0.65729E-09
   113    0.42510E-09    0.12232E-12   -0.42121E-11    0.54679E-06    0.64758E-09
   114    0.42966E-09    0.12381E-12   -0.42943E-11    0.54322E-06    0.63804E-09
   115    0.43425E-09    0.12526E-12   -0.43757E-11    0.53967E-06    0.62868E-09
   116    0.43884E-09    0.12666E-12   -0.44560E-11    0.53615E-06    0.61949E-09
   117    0.44346E-09    0.12802E-12   -0.45353E-11    0.53266E-06    0.61046E-09
   118    0.44809E-09    0.12933E-12   -0.46135E-11    0.52919E-06    0.60160E-09
   119    0.45273E-09    0.13059E-12   -0.46905E-11    0.52575E-06    0.59289E-09
   120    0.45738E-09    0.13180E-12   -0.47662E-11    0.52234E-06    0.58435E-09
   121    0.46205E-09    0.13296E-12   -0.48406E-11    0.51896E-06    0.57596E-09
