2	3.84716438010269e-13	5.49987374800101e-18	3.24309401565525e-18	1.71285245349718e-17
3	4.97888056560896e-13	7.04492887804057e-18	5.01614342227085e-18	-1.55057655079539e-17
4	6.01846982577224e-13	8.80949415032405e-18	6.49696153522431e-18	-3.68534635131723e-17
5	6.90721656426227e-13	1.05507617203939e-17	7.75355609797155e-18	-7.59262688325899e-17
6	7.67486911876105e-13	1.21720393906237e-17	8.87319249221446e-18	-1.32920797912634e-16
7	8.34613921387089e-13	1.34804814409561e-17	9.88630586650955e-18	-2.00154195774766e-16
8	8.94971130376231e-13	1.42804141065567e-17	1.07480515108156e-17	-2.64963689925090e-16
9	9.50777880649777e-13	1.45318407541453e-17	1.14156047470752e-17	-3.19527312515782e-16
10	1.00324753808602e-12	1.42998064136016e-17	1.18547597003619e-17	-3.59713828802289e-16
11	1.05362713576298e-12	1.37577644979379e-17	1.20823499705412e-17	-3.84597929467217e-16
12	1.10274623348203e-12	1.30993687400051e-17	1.21658446258732e-17	-3.95993603232051e-16
13	1.15115293325478e-12	1.24851443481188e-17	1.21740594226075e-17	-3.96459557276324e-16
14	1.19893476980052e-12	1.19497012036024e-17	1.21395842100833e-17	-3.88981398872149e-16
15	1.24604595572763e-12	1.14954633448363e-17	1.20857166905143e-17	-3.76725191482198e-16
16	1.29245821058833e-12	1.11225654406195e-17	1.20317145021463e-17	-3.62413938220688e-16
17	1.33793182392055e-12	1.08209073310327e-17	1.19786549953708e-17	-3.47329686053363e-16
18	1.38222439188620e-12	1.05770221361838e-17	1.19230367814157e-17	-3.32316808349466e-16
19	1.42510563083915e-12	1.03785203265718e-17	1.18620318155037e-17	-3.18200824846393e-16
20	1.46630485649356e-12	1.02120696911034e-17	1.17918693712650e-17	-3.05865162865079e-16
21	1.50563487921892e-12	1.00674354010605e-17	1.17112027607104e-17	-2.95981819712145e-16
22	1.54309839239121e-12	9.94515613163875e-18	1.16255534045956e-17	-2.88545408635637e-16
23	1.57875195690598e-12	9.84819459641444e-18	1.15421934180625e-17	-2.83411834020705e-16
24	1.61266829391465e-12	9.77937884016497e-18	1.14685295850518e-17	-2.80379092668967e-16
25	1.64489049743288e-12	9.74194091406447e-18	1.14118340207053e-17	-2.79272115141823e-16
26	1.67547782173218e-12	9.73843952529248e-18	1.13793788401650e-17	-2.79958926016329e-16
27	1.70451510815588e-12	9.77237606262099e-18	1.13785708273714e-17	-2.82226748590186e-16
28	1.73201986364784e-12	9.84644390202845e-18	1.14165474286676e-17	-2.85911286928710e-16
29	1.75807692955138e-12	9.96387509468900e-18	1.15009847655921e-17	-2.90868445417053e-16
30	1.78274421345005e-12	1.01274976853800e-17	1.16387509468900e-17	-2.96911034424712e-16
31	1.80609443649524e-12	1.03393317060853e-17	1.18355020621160e-17	-3.03850517633196e-16
32	1.82824072047807e-12	1.05972224560222e-17	1.20881407288949e-17	-3.11533372611733e-16
33	1.84929618718963e-12	1.08979378840165e-17	1.23916842016665e-17	-3.19828970625368e-16
34	1.86941705243666e-12	1.12382459388940e-17	1.27414190724686e-17	-3.28555508795556e-16
35	1.88871643801027e-12	1.16153185758775e-17	1.31322279269422e-17	-3.37556771315546e-16
36	1.90733574614931e-12	1.20257890749937e-17	1.35591280195270e-17	-3.46692702634458e-16
37	1.92540291221278e-12	1.24664253850686e-17	1.40174059422608e-17	-3.55766686305867e-16
38	1.94304587155963e-12	1.29339954549280e-17	1.45019442807844e-17	-3.64649440282805e-16
39	1.96039121286087e-12	1.34255365709957e-17	1.50078949583368e-17	-3.73159161686727e-16
40	1.97755340459557e-12	1.39378166820975e-17	1.55301405605589e-17	-3.81154448278764e-16
41	1.99468596919451e-12	1.44681424122549e-17	1.60650450298796e-17	-3.88546418651629e-16
42	2.01179968016160e-12	1.50165137614679e-17	1.66126083662991e-17	-3.95297365541621e-16
43	2.02890665768875e-12	1.55833347361333e-17	1.71740425890077e-17	-4.01505597171955e-16
44	2.04607154279943e-12	1.61688746738490e-17	1.77502903795977e-17	-4.07241141318071e-16
45	2.06329029542968e-12	1.67738069186095e-17	1.83426984260584e-17	-4.12561905563505e-16
46	2.08060062284319e-12	1.73982661392139e-17	1.89524787475802e-17	-4.17547344499621e-16
47	2.09801329854389e-12	1.80430603484555e-17	1.95808433633533e-17	-4.22233818702129e-16
48	2.11556468310748e-12	1.87085935527313e-17	2.02286002861712e-17	-4.26714249642286e-16
49	2.13328171029375e-12	1.93948657520411e-17	2.08973655416211e-17	-4.31038464775692e-16
50	2.15117111354263e-12	2.01029542967764e-17	2.15880818112953e-17	-4.35280531941756e-16
51	2.16925982661392e-12	2.08328591869371e-17	2.23015571079875e-17	-4.39509132227927e-16
52	2.18752091574783e-12	2.15847150913223e-17	2.30380607692955e-17	-4.43783519905732e-16
53	2.20591532699268e-12	2.23567713155458e-17	2.37975927952193e-17	-4.48173722750610e-16
54	2.22442959346856e-12	2.31522599107819e-17	2.45798838481609e-17	-4.52761888729905e-16
55	2.24300984765592e-12	2.39683528322532e-17	2.53847992593216e-17	-4.57600538675196e-16
56	2.26159144853127e-12	2.48046460735628e-17	2.62127430350981e-17	-4.62786634121707e-16
57	2.28026731756586e-12	2.56626209914990e-17	2.70622338187021e-17	-4.68372695901018e-16
58	2.29881255786550e-12	2.65403922228769e-17	2.79356956485144e-17	-4.74444912044441e-16
59	2.31734567797323e-12	2.74393064556856e-17	2.88293577981651e-17	-4.81057150071543e-16
60	2.33570911539433e-12	2.83592290211262e-17	2.97469909940241e-17	-4.88275397693797e-16
